UNIVERSITY NAME,LOCATION,RATING,SCORES,PRICE
"Harvard University, Cambridge","Massachusetts, usa",10.0/10 , GRE 292 | TOEFL 100 , M.Sc Computational Sci...$54.9K/Yr
"Stanford University, Stanford","California, usa",9.3/10 , GMAT 733 | PTE 68 , M.B.A$74.7K/Yr
"Massachusetts Institute of Technology, Cambridge","Massachusetts, usa",9.0/10 , GMAT 727 | TOEFL 90 , M.Sc Computation for D...$53.4K/Yr
"University of Cambridge, Cambridge","England, uk",9.0/10 , GMAT 687 | TOEFL 110 , M.B.A$76.1K/Yr
"University of Oxford, Oxford","England, uk",8.9/10 , TOEFL 100 , M.Sc Computer Science$33K/Yr
"University of California, Berkeley","California, usa",8.4/10 , IELTS 7 , M.Sc Computer Science$26.5K/Yr
"Columbia University, New York City","New York, usa",8.4/10 , GMAT 726 | TOEFL 100 , M.B.A$77.4K/Yr
"The University of Chicago, Chicago","Illinois, usa",8.4/10 , GMAT 570 | TOEFL 100 , M.B.A$72K/Yr
"California Institute of Technology, Pasadena","California, usa",8.3/10 ,-*-, M.S Mechanical Enginee...$62.4K/Yr
"Princeton University, Princeton","New Jersey, usa",8.3/10 , TOEFL 100 , M.Sc Computer Science$54.1K/Yr
"Yale University, New Haven","Connecticut, usa",8.1/10 , IELTS 7.0 , M.Sc Computer Science$55.5K/Yr
"Cornell University, Ithaca","New York, usa",7.9/10 , TOEFL 77 , M.Eng Computer Science$56.5K/Yr
"University of Pennsylvania, Philadelphia","Pennsylvania, usa",7.9/10 , GMAT 730 | TOEFL 100 , M.B.A$81.4K/Yr
"University of California Los Angeles, Los Angeles","California, usa",7.8/10 , IELTS 7 , M.Sc Computer Science$26.5K/Yr
"Johns Hopkins University, Baltimore","Maryland, usa",7.8/10 ,-*-, M.Sc Biotechnology$55.3K/Yr
"University College London, London","England, uk",7.7/10 ,-*-, M.B.A$43K/Yr
"Imperial College London, London","England, uk",7.6/10 , GMAT 600 | TOEFL 100 , M.B.A$70.3K/Yr
"University of Michigan, Ann Arbor","Michigan, usa",7.5/10 , IELTS 6.5 , M.Sc Computer Science ...$63K/Yr
"University of Toronto, Toronto","Ontario, canada",7.4/10 , GMAT 663 | TOEFL 100 , M.B.A$47.5K/Yr
"Northwestern University, Evanston","Illinois, usa",7.3/10 , IELTS 7.5 , M.Sc Biotechnology$82.6K/Yr
"University of California, San Diego","California, usa",7.3/10 ,-*-, M.S Data Science and E...$33.5K/Yr
"University of Washington, Seattle","Washington, usa",7.2/10 , GRE 298 | TOEFL 92 , M.S Computer Science &...$3.5K/Yr
"Nanyang Technological University, Singapore","Singapore, singapore",7.0/10 , GMAT 600 | TOEFL 100 , M.B.A$62.1K/Yr
"University of Edinburgh, Edinburgh","Scotland, uk",6.9/10 , IELTS 6.5 , M.A Accounting and Bus...$28.4K/Yr
"New York University, New York City","New York, usa",6.9/10 , TOEFL 90 , M.Sc Data Science$64.6K/Yr
"Duke University, Durham","North Carolina, usa",6.9/10 , GMAT 660 | TOEFL 79 , M.B.A$70K/Yr
"Australian National University, Canberra","Australian Capital Territory , australia",6.9/10 ,-*-, M.B.A$33K/Yr
"University of Wisconsin, Madison","Wisconsin, usa",6.8/10 , GRE 317 | TOEFL 92 , M.Sc Biotechnology$26.5K/Yr
"National University of Singapore, Singapore","Singapore, singapore",6.8/10 , GRE 320 | TOEFL 100 , M.B.A$42.9K/Yr
"Brown University, Providence","Rhode Island, usa",6.7/10 , IELTS 7 , M.A Innovation Managem...$59.3K/Yr
"University of British Columbia, Vancouver","British Columbia, canada",6.7/10 , GRE 310 | IELTS 6.5 , M.Sc Computer Science$6.6K/Yr
"University of Melbourne, Melbourne","Victoria, australia",6.7/10 , TOEFL 102 , Master of Business Adm...$72.8K/Yr
"McGill University, Montreal","Quebec, canada",6.6/10 , GMAT 660 | IELTS 6.5 , M.Mgmt Analytics$39.4K/Yr
"King's College London, London","England, uk",6.6/10 , IELTS 6.0 , M.Sc Computer Science$36.2K/Yr
"University of New South Wales, Sydney","New South Wales, australia",6.6/10 ,-*-, Master Construction Pr...$25.8K/Yr
"Washington University, St. Louis","Missouri, usa",6.5/10 ,-*-, M.Sc Finance + Global ...$54.1K/Yr
"University of Manchester, Manchester","England, uk",6.5/10 , IELTS 7 , M.Eng Computer Science$32.2K/Yr
"The Hong Kong University of Science & Technology, Hong Kong","Hong Kong, hong-kong",6.5/10 ,-*-, M.S Science in Busines...--
