UNIVERSITY NAME,LOCATION,RATING,SCORES,PRICE,GREGMAT,IELTSTOEFL
Harvard University Cambridge,Massachusetts usa,.0 , GRE 292 | TOEFL 100 ,56, GRE 292 , TOEFL 100 
Stanford University Stanford,California usa,9.3 , GMAT 733 | PTE 68 ,74, GMAT 733 , PTE 68 
Massachusetts Institute of Technology Cambridge,Massachusetts usa,9.0 , GRE 311 | TOEFL 90 ,136, GRE 311 , TOEFL 90 
University of California Berkeley,California usa,8.4 , GRE 300 | IELTS 7 ,26, GRE 300 , IELTS 7 
Columbia University New York City,New York usa,8.4 , GMAT 726 | TOEFL 100 ,77, GMAT 726 , TOEFL 100 
The University of Chicago Chicago,Illinois usa,8.4 , GMAT 570 | TOEFL 100 ,72, GMAT 570 , TOEFL 100 
California Institute of Technology Pasadena,California usa,8.3 ,N/A,62,N/A,
Princeton University Princeton,New Jersey usa,8.3 , GRE 298 | TOEFL 100 ,54, GRE 298 , TOEFL 100 
Yale University New Haven,Connecticut usa,8.1 , GRE 322 | IELTS 7 ,74, GRE 322 , IELTS 7 
Cornell University Ithaca,New York usa,7.9 , GMAT 700 | TOEFL 100 ,71, GMAT 700 , TOEFL 100 
University of Pennsylvania Philadelphia,Pennsylvania usa,7.9 , GMAT 730 | TOEFL 100 ,81, GMAT 730 , TOEFL 100 
University of California Los Angeles Los Angeles,California usa,7.8 , GRE 326 | IELTS 7 ,65, GRE 326 , IELTS 7 
Johns Hopkins University Baltimore,Maryland usa,7.8 , GMAT 670 | TOEFL 100 ,64, GMAT 670 , TOEFL 100 
University of Michigan Ann Arbor,Michigan usa,7.5 , IELTS 6.5 ,63, IELTS 6.5 ,
Northwestern University Evanston,Illinois usa,7.3 , GMAT 727 | IELTS 7 ,74, GMAT 727 , IELTS 7 
University of California San Diego,California usa,7.3 , GMAT 655 | TOEFL 85 ,57, GMAT 655 , TOEFL 85 
University of Washington Seattle,Washington usa,7.2 , GRE 298 | TOEFL 92 ,3.5, GRE 298 , TOEFL 92 
New York University New York City,New York usa,6.9 , GMAT 690 | TOEFL 90 ,79, GMAT 690 , TOEFL 90 
Duke University Durham,North Carolina usa,6.9 , GMAT 660 | TOEFL 79 ,70, GMAT 660 , TOEFL 79 
University of Wisconsin Madison,Wisconsin usa,6.8 , GMAT 649 | IELTS 7.5 ,42, GMAT 649 , IELTS 7.5 
Brown University Providence,Rhode Island usa,6.7 , IELTS 7 ,59, IELTS 7 ,
Washington University St. Louis,Missouri usa,6.5 ,N/A,54,N/A,
Carnegie Mellon University Pittsburgh,Pennsylvania usa,6.4 , GMAT 680 | TOEFL 102 ,70, GMAT 680 , TOEFL 102 
Emory University Atlanta,Georgia usa,6.3 , GMAT 680 | IELTS 7 ,98, GMAT 680 , IELTS 7 
University of North Carolina Chapel Hill,North Carolina usa,6.2 , GMAT 694 | TOEFL 100 ,66, GMAT 694 , TOEFL 100 
University of Minnesota - Twin Cities Minneapolis,Minnesota usa,6.1 ,N/A,13,N/A,
Boston University Boston,Massachusetts usa,6.1 , GRE 298 | TOEFL 84 ,58, GRE 298 , TOEFL 84 
Ohio State University Columbus,Ohio usa,6.1 , GMAT 666 | IELTS 7 ,55, GMAT 666 , IELTS 7 
Georgia Institute of Technology Atlanta,Georgia usa,6.1 , GMAT 681 | IELTS 7 ,40, GMAT 681 , IELTS 7 
Michigan State University East Lansing,Michigan usa,6.1 , GRE 298 | IELTS 6.5 ,52, GRE 298 , IELTS 6.5 
University of California Davis,California usa,6.1 ,N/A,33,N/A,
University of Illinois - Urbana Champaign Urbana,Illinois usa,6.0 ,N/A,27,N/A,
University of California San Francisco,California usa,6.0 ,N/A,47,N/A,
University of Pittsburgh Pittsburgh,Pennsylvania usa,6.0 , GMAT 600 | TOEFL 100 ,32, GMAT 600 , TOEFL 100 
University of Southern California Los Angeles,California usa,5.9 , GRE 317 | TOEFL 90 ,34, GRE 317 , TOEFL 90 
Pennsylvania State University State College,Pennsylvania usa,5.9 ,N/A,38,N/A,
University of California Santa Barbara,California usa,5.9 ,N/A,16,N/A,
Dartmouth College Hanover,New Hampshire usa,5.9 , IELTS 7 ,55, IELTS 7 ,
University of Maryland College Park,Maryland usa,5.9 , GMAT 700 | TOEFL 80 ,37, GMAT 700 , TOEFL 80 
University of Rochester Rochester,New York usa,5.8 , GRE 292 | IELTS 7 ,79, GRE 292 , IELTS 7 
Purdue University West Lafayette,Indiana usa,5.8 ,N/A,48,N/A,
Case Western Reserve University Cleveland,Ohio usa,5.8 , IELTS 7 ,38, IELTS 7 ,
University of Alabama Birmingham,Alabama usa,5.8 ,N/A,38,N/A,
Rice University Houston,Texas usa,5.7 , TOEFL 90 ,48, TOEFL 90 ,
Vanderbilt University Nashville,Tennessee usa,5.7 , GMAT 690 | TOEFL 101 ,58, GMAT 690 , TOEFL 101 
Texas A&M University College Station,Texas usa,5.7 , GRE 309 | IELTS 6.5 ,20, GRE 309 , IELTS 6.5 
University of Colorado Boulder,Colorado usa,5.7 ,N/A,33,N/A,
Tufts University Medford,Massachusetts usa,5.6 , TOEFL 100 ,51, TOEFL 100 ,
University of Notre Dame Notre Dame,Indiana usa,5.6 , GMAT 590 | TOEFL 100 ,28, GMAT 590 , TOEFL 100 
